hq_id,inv_id,inv_name
12773,12773,supplier3
24768,24768,supplier3
29852,29852,supplier3
32887,32887,supplier3
50426,50426,supplier3
157827,157827,supplier3
189546,189546,supplier4
23844,23844,supplier4
1133398,1133398,supplier4
1216998,1216998,supplier4
1475118,1475118,supplier4
1816108,1816108,supplier4
1891505,1891505,supplier4
125211,125211,supplier1
228296,228296,supplier1
238188,238188,supplier1
427270,427270,supplier1
209129,209129,supplier1
211346,211346,supplier1
324006,324006,supplier1
126716,126716,supplier1
209802,209802,supplier1
275842,275842,supplier1
369351,369351,supplier1
578242,578242,supplier1
151930,151930,supplier1
124981,124981,supplier1
133007,133007,supplier1
206660,206660,supplier1
209308,209308,supplier1
357979,357979,supplier1
449302,449302,supplier1
530223,530223,supplier1
21912,21912,supplier3
181539,181539,supplier3
219596,219596,supplier4
224576,224576,supplier4
231336,231336,supplier4
353485,353485,supplier4
1240148,1240148,supplier4
1884625,1884625,supplier4
222860,222860,supplier1
539436,539436,supplier1
182354,182354,supplier1
220186,220186,supplier1
110776,110776,supplier1
127799,127799,supplier1
173933,173933,supplier1
310137,310137,supplier1
12923,12923,supplier3
1420,1420,supplier3
16277,16277,supplier3
17188,17188,supplier3
18599,18599,supplier3
31488,31488,supplier3
134314,134314,supplier4
192166,192166,supplier4
216746,216746,supplier4
220256,220256,supplier4
235337,235337,supplier3
380775,380775,supplier4
640335,640335,supplier4
1090638,1090638,supplier4
2015035,2015035,supplier4
330383,330383,supplier1
170991,170991,supplier1
220847,220847,supplier1
195564,195564,supplier1
137863,137863,supplier1
449079,449079,supplier1
276516,276516,supplier1
1142,1142,supplier3
15181,15181,supplier3
1687,1687,supplier3
20489,20489,supplier3
42593,42593,supplier3
139814,139814,supplier3
140974,140974,supplier4
183884,183884,supplier3
460965,460965,supplier4
1017428,1017428,supplier4
1032588,1032588,supplier4
1051268,1051268,supplier4
1185988,1185988,supplier4
1389968,1389968,supplier4
1916735,1916735,supplier4
497050,497050,supplier1
132494,132494,supplier1
144508,144508,supplier1
151418,151418,supplier1
184453,184453,supplier1
210852,210852,supplier1
217278,217278,supplier1
148004,148004,supplier1
206784,206784,supplier1
324272,324272,supplier1
534338,534338,supplier1
118437,118437,supplier1
133343,133343,supplier1
193527,193527,supplier1
263988,263988,supplier1
250365,250365,supplier1
260361,260361,supplier1
13806,13806,supplier3
26206,26206,supplier3
35451,35451,supplier3
219186,219186,supplier4
1023398,1023398,supplier4
1033928,1033928,supplier4
1074888,1074888,supplier4
1613028,1613028,supplier4
1654758,1654758,supplier4
261643,261643,supplier1
578463,578463,supplier1
127557,127557,supplier1
210591,210591,supplier1
272495,272495,supplier1
296225,296225,supplier1
417391,417391,supplier1
106612,106612,supplier1
121966,121966,supplier1
430364,430364,supplier1
